logonEmailAddress,logonStartTimestamp,logonEndTimestamp
firstname.lastname@company.com,2021-12-01T12:00:00,2022-04-27T12:00:00
firstname.lastname@company.com,2021-12-02T11:00:00,2022-04-24T11:00:00
firstname.lastname@company.com,2021-12-03T10:00:00,2022-04-25T10:00:00
firstname.lastname@company.com,2021-12-04T10:00:00,2022-04-26T10:30:00
firstname.lastname@company.com,2021-12-05T09:50:00,2022-04-23T12:54:00
firstname.lastname@company.com,2021-12-06T09:45:00,2022-04-22T11:43:00
firstname.lastname@company.com,2021-12-03T09:00:00,2022-04-21T10:40:00
firstname.lastname@company.com,2021-12-02T11:30:00,2022-04-20T11:30:00
firstname.lastname@company.com,2021-12-05T10:15:00,2022-04-19T10:00:00
firstname.lastname@company.com,2021-12-06T09:20:00,2022-04-18T12:45:00
firstname.lastname@company.com,2021-12-08T11:40:00,2022-04-17T09:56:00
firstname.lastname@company.com,2021-12-09T10:00:00,2022-04-16T12:34:00
firstname.lastname@company.com,2021-12-01T09:55:00,2022-04-15T12:20:00
firstname.lastname@company.com,2021-12-02T09:50:00,2022-04-14T11:20:00
firstname.lastname@company.com,2021-12-03T11:30:00,2022-04-13T10:50:00
firstname.lastname@company.com,2021-12-04T10:00:00,2022-04-12T12:45:00
firstname.lastname@company.com,2021-12-05T11:40:00,2022-04-11T10:32:00
firstname.lastname@company.com,2021-12-08T09:30:00,2022-04-10T11:00:00
firstname.lastname@company.com,2021-12-06T10:00:00,2022-04-09T12:30:00
